GEO.id2,HD01_VD18
Id2,Income Females: - Bachelor's degree
98570,35238
98571,-
98572,122813
98575,-
98576,29583
98577,31806
98579,39726
98580,37411
98581,-
98582,-
98583,-
98584,37754
98585,-
98586,37667
98587,47917
98588,11375
98589,54250
98590,-
98591,6406
98592,50523
98593,50556
98595,75526
98596,29375
98597,40179
98601,49531
98602,-
98603,-
98604,36544
98605,30714
98606,46172
98607,36739
98610,25972
98611,41538
98612,17969
98613,-
98614,-
98616,-
98617,43000
98619,3611
98620,46472
98621,-
98624,68041
98625,51453
98626,32457
98628,-
98629,37500
98631,22212
98632,35795
98635,23894
98638,40341
98639,-
98640,70208
98641,-
98642,41458
98643,34643
98644,-
98645,15724
98647,-
98648,45250
98649,103393
98650,20625
98651,41111
98660,40221
98661,41076
98662,44129
98663,34427
98664,32763
98665,40783
98670,-
98671,41132
98672,31694
98673,47750
98674,27976
98675,37500
98682,34828
98683,40321
98684,38851
98685,33393
98686,37100
98801,38403
98802,40878
98811,-
98812,15147
98813,78482
98814,26875
98815,31563
98816,31542
98817,-
98819,-
98821,-
98822,31964
98823,35944
98824,-
98826,25625
98827,-
98828,26406
98829,-
98830,59659
98831,25179
98832,-
98833,17500
98834,-
98836,-
98837,28955
98840,37188
98841,43603
98843,64306
98844,46250
98845,-
98846,63611
98847,11941
98848,30694
98849,46071
98850,-
98851,49609
98852,36250
98853,-
98855,28750
98856,26447
98857,16838
98858,16964
98859,-
98860,-
98862,46705
98901,40236
98902,31979
98903,39615
98908,37708
98921,-
98922,38056
98923,39773
98925,-
98926,31820
98929,-
98930,39375
98932,41122
98933,36538
98934,48229
98935,"2,500-"
98936,16739
98937,38750
98938,34000
98939,25603
98940,-
98941,41591
98942,48523
98943,25000
98944,48971
98946,26023
98947,6850
98948,37273
98950,-
98951,40701
98952,"2,500-"
98953,57895
99001,26938
99003,22149
99004,34755
99005,29096
99006,32708
99008,-
99009,20893
99011,-
99012,21042
99013,39583
99016,40992
99017,39583
99018,27125
99019,41182
99020,-
99021,46125
99022,41786
99023,-
99025,36023
99026,38516
99027,51667
99029,47838
99030,52321
99031,35804
99032,3929
99033,39375
99034,-
99036,52969
99037,32459
99039,-
99040,40250
99101,32813
99102,34722
99103,28750
99105,-
99109,25000
99110,56023
99111,24000
99113,30750
99114,34833
99115,35000
99116,31538
99117,43125
99118,4500
99119,18750
99121,30417
99122,40909
99123,60234
99124,77813
99125,14583
99126,-
99128,47955
99129,52750
99130,14688
99131,-
99133,28667
99134,49236
99135,28000
99136,-
99137,-
99138,38125
99139,46607
99140,45694
99141,34141
99143,"2,500-"
99144,-
99146,-
99147,-
99148,145444
99149,-
99150,-
99151,23750
99152,-
99153,58500
99154,-
99155,-
99156,19928
99157,3000
99158,50417
99159,26000
99160,-
99161,18750
99163,27121
99164,-
99166,35833
99167,8750
99169,16250
99170,19545
99171,16375
99173,"2,500-"
99174,-
99176,21875
99179,46563
99180,42813
99181,22321
99185,20909
99201,29063
99202,25635
99203,40712
99204,29950
99205,33995
99206,32578
99207,36779
99208,36067
99212,43704
99216,30223
99217,40690
99218,19464
99223,39554
99224,39196
99301,33971
99320,41736
99321,-
99322,15833
99323,71250
99324,26293
99326,35833
99328,11154
99329,-
99330,-
99333,-
99335,-
99336,43438
99337,45167
99338,31719
99341,22125
99343,4107
99344,32188
99345,"250,000+"
99346,-
99347,37750
99348,62917
99349,20673
99350,57208
99352,43598
99353,42135
99354,37949
99356,33125
